,Month,Year,Name,Account,Service,Cost,Enviroment
0,APR,2025,Entercom Communications,724972922289,AWS Amplify,0.0115229662,Environment$
1,APR,2025,Entercom Communications,724972922289,AWS Backup,0.9914217846,Environment$
2,APR,2025,Entercom Communications,724972922289,AWS Backup,93.7334960825,Environment$prod
3,APR,2025,Entercom Communications,724972922289,AWS Budgets,0.24,Environment$
4,APR,2025,Entercom Communications,724972922289,AWS Certificate Manager,1200.0,Environment$
5,APR,2025,Entercom Communications,724972922289,AWS CloudFormation,0.0,Environment$
6,APR,2025,Entercom Communications,724972922289,AWS CloudShell,1.671e-07,Environment$
7,APR,2025,Entercom Communications,724972922289,AWS CloudTrail,1903.2875905749,Environment$
8,APR,2025,Entercom Communications,724972922289,AWS Config,1141.12,Environment$
9,APR,2025,Entercom Communications,724972922289,AWS Cost Explorer,6.18,Environment$
10,APR,2025,Entercom Communications,724972922289,AWS DataSync,6.1958573827,Environment$
11,APR,2025,Entercom Communications,724972922289,AWS Database Migration Service,1586.4635000226,Environment$
12,APR,2025,Entercom Communications,724972922289,AWS Database Migration Service,154.4973666516,Environment$nonprod
13,APR,2025,Entercom Communications,724972922289,AWS Directory Service,246.4204946555,Environment$
14,APR,2025,Entercom Communications,724972922289,AWS Elemental MediaLive,13.56,Environment$
15,APR,2025,Entercom Communications,724972922289,AWS Elemental MediaStore,8.95776e-05,Environment$
16,APR,2025,Entercom Communications,724972922289,AWS End User Messaging,1.4125000113,Environment$
17,APR,2025,Entercom Communications,724972922289,AWS Global Accelerator,16.95,Environment$nonprod
18,APR,2025,Entercom Communications,724972922289,AWS Glue,0.913,Environment$
19,APR,2025,Entercom Communications,724972922289,AWS Key Management Service,80.5534846032,Environment$
20,APR,2025,Entercom Communications,724972922289,AWS Key Management Service,0.9518523408,Environment$Production
21,APR,2025,Entercom Communications,724972922289,AWS Key Management Service,0.4685265593,Environment$dev
22,APR,2025,Entercom Communications,724972922289,AWS Key Management Service,0.4715863371,Environment$loadtest
23,APR,2025,Entercom Communications,724972922289,AWS Key Management Service,32.9350290233,Environment$nonprod
24,APR,2025,Entercom Communications,724972922289,AWS Key Management Service,30.1188333716,Environment$prod
25,APR,2025,Entercom Communications,724972922289,AWS Key Management Service,0.9361111186,Environment$shared
26,APR,2025,Entercom Communications,724972922289,AWS Key Management Service,0.4685265593,Environment$stg
27,APR,2025,Entercom Communications,724972922289,AWS Lambda,961.4293373329,Environment$
28,APR,2025,Entercom Communications,724972922289,AWS Lambda,5.0373713335,Environment$Development
29,APR,2025,Entercom Communications,724972922289,AWS Lambda,16.6613893526,Environment$Production
30,APR,2025,Entercom Communications,724972922289,AWS Lambda,0.4197824222,Environment$dev
31,APR,2025,Entercom Communications,724972922289,AWS Lambda,1.096949739,Environment$nonprod
32,APR,2025,Entercom Communications,724972922289,AWS Lambda,2.8510678399,Environment$prd
33,APR,2025,Entercom Communications,724972922289,AWS Lambda,7.7029531415,Environment$prod
34,APR,2025,Entercom Communications,724972922289,AWS Lambda,0.3586201011,Environment$stg
35,APR,2025,Entercom Communications,724972922289,AWS Secrets Manager,66.7969171545,Environment$
36,APR,2025,Entercom Communications,724972922289,AWS Secrets Manager,40.90894,Environment$nonprod
37,APR,2025,Entercom Communications,724972922289,AWS Secrets Manager,20.08001,Environment$prod
38,APR,2025,Entercom Communications,724972922289,AWS Security Hub,132.15861,Environment$
39,APR,2025,Entercom Communications,724972922289,AWS Step Functions,0.0012125516,Environment$
40,APR,2025,Entercom Communications,724972922289,AWS Support (Enterprise),27285.49,Environment$
41,APR,2025,Entercom Communications,724972922289,AWS Systems Manager,0.07119,Environment$
42,APR,2025,Entercom Communications,724972922289,AWS Transfer Family,101.9408533679,Environment$
43,APR,2025,Entercom Communications,724972922289,AWS WAF,55.7044874689,Environment$
44,APR,2025,Entercom Communications,724972922289,AWS WAF,5.7672260742,Environment$nonprod
45,APR,2025,Entercom Communications,724972922289,AWS WAF,754.4052266742,Environment$prod
46,APR,2025,Entercom Communications,724972922289,AWS X-Ray,24.725177,Environment$
47,APR,2025,Entercom Communications,724972922289,Amazon API Gateway,139.014502324,Environment$
48,APR,2025,Entercom Communications,724972922289,Amazon Athena,5.652765,Environment$
49,APR,2025,Entercom Communications,724972922289,Amazon CloudFront,7627.1258096222,Environment$
50,APR,2025,Entercom Communications,724972922289,Amazon CloudFront,0.7067241338,Environment$nonprod
51,APR,2025,Entercom Communications,724972922289,Amazon CloudFront,0.9663669341,Environment$prd
52,APR,2025,Entercom Communications,724972922289,Amazon CloudFront,2583.4511531381,Environment$prod
53,APR,2025,Entercom Communications,724972922289,Amazon CloudFront,0.0216865902,Environment$qa
54,APR,2025,Entercom Communications,724972922289,Amazon CloudFront,4.741e-07,Environment$stg
55,APR,2025,Entercom Communications,724972922289,Amazon Cognito,85.135,Environment$
56,APR,2025,Entercom Communications,724972922289,Amazon Detective,63.5086428358,Environment$
57,APR,2025,Entercom Communications,724972922289,Amazon DevOps Guru,0.0,Environment$
58,APR,2025,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),0.0742075351,Environment$
59,APR,2025,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),124.919298048,Environment$nonprod
60,APR,2025,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),139.254755245,Environment$prod
61,APR,2025,Entercom Communications,724972922289,Amazon DynamoDB,22.6788330977,Environment$
62,APR,2025,Entercom Communications,724972922289,Amazon DynamoDB,26.9022992454,Environment$nonprod
63,APR,2025,Entercom Communications,724972922289,Amazon DynamoDB,58.5741930115,Environment$prod
64,APR,2025,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),61.6708163988,Environment$
65,APR,2025,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.0172365906,Environment$common
66,APR,2025,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.189284718,Environment$nonprod
67,APR,2025,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),403.0111851258,Environment$prod
68,APR,2025,Entercom Communications,724972922289,Amazon ElastiCache,7001.6921815128,Environment$
69,APR,2025,Entercom Communications,724972922289,Amazon ElastiCache,3140.499182625,Environment$nonprod
70,APR,2025,Entercom Communications,724972922289,Amazon ElastiCache,2538.432,Environment$prod
71,APR,2025,Entercom Communications,724972922289,EC2 - Other,11311.8463093855,Environment$
72,APR,2025,Entercom Communications,724972922289,EC2 - Other,0.3699999963,Environment$PSFalcon
73,APR,2025,Entercom Communications,724972922289,EC2 - Other,0.8099034998,Environment$dev
74,APR,2025,Entercom Communications,724972922289,EC2 - Other,9.2777777852,Environment$management
75,APR,2025,Entercom Communications,724972922289,EC2 - Other,528.6713304208,Environment$nonprod
76,APR,2025,Entercom Communications,724972922289,EC2 - Other,8.7767086665,Environment$prd
77,APR,2025,Entercom Communications,724972922289,EC2 - Other,3685.5604845128,Environment$prod
78,APR,2025,Entercom Communications,724972922289,EC2 - Other,0.3827064288,Environment$stg
79,APR,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,10287.7760281411,Environment$
80,APR,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,29.2032,Environment$dev
81,APR,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,3702.9810912905,Environment$nonprod
