,Month,Year,Name,Account,Service,Cost
0,DEC,2023,Entercom Communications,724972922289,AWS Amplify,0.0
1,DEC,2023,Entercom Communications,724972922289,AWS Backup,3.6204146479
2,DEC,2023,Entercom Communications,724972922289,AWS Backup,109.4829594628
3,DEC,2023,Entercom Communications,724972922289,AWS Budgets,0.28055
4,DEC,2023,Entercom Communications,724972922289,AWS Certificate Manager,1448.0
5,DEC,2023,Entercom Communications,724972922289,AWS CloudShell,2.0205e-06
6,DEC,2023,Entercom Communications,724972922289,AWS CloudTrail,7511.7480071216
7,DEC,2023,Entercom Communications,724972922289,AWS Config,2234.762474
8,DEC,2023,Entercom Communications,724972922289,AWS Cost Explorer,11.50255
9,DEC,2023,Entercom Communications,724972922289,AWS Data Exchange,0.0893500104
10,DEC,2023,Entercom Communications,724972922289,AWS DataSync,246.3215927789
11,DEC,2023,Entercom Communications,724972922289,AWS Database Migration Service,162.2701891461
12,DEC,2023,Entercom Communications,724972922289,AWS Directory Service,466.2563280245
13,DEC,2023,Entercom Communications,724972922289,AWS Elemental MediaLive,26.9328
14,DEC,2023,Entercom Communications,724972922289,AWS Elemental MediaStore,0.000173724
15,DEC,2023,Entercom Communications,724972922289,AWS End User Messaging,2.714999964
16,DEC,2023,Entercom Communications,724972922289,AWS Global Accelerator,0.0
17,DEC,2023,Entercom Communications,724972922289,AWS Global Accelerator,33.6715486169
18,DEC,2023,Entercom Communications,724972922289,AWS Glue,14.3452159246
19,DEC,2023,Entercom Communications,724972922289,AWS Key Management Service,161.038909168
20,DEC,2023,Entercom Communications,724972922289,AWS Key Management Service,1.8220516558
21,DEC,2023,Entercom Communications,724972922289,AWS Key Management Service,0.9055456004
22,DEC,2023,Entercom Communications,724972922289,AWS Key Management Service,0.9058986282
23,DEC,2023,Entercom Communications,724972922289,AWS Key Management Service,73.7746860342
24,DEC,2023,Entercom Communications,724972922289,AWS Key Management Service,47.217232823
25,DEC,2023,Entercom Communications,724972922289,AWS Key Management Service,1.8087835286
26,DEC,2023,Entercom Communications,724972922289,AWS Key Management Service,1.8116559986
27,DEC,2023,Entercom Communications,724972922289,AWS Lambda,1937.0872866051
28,DEC,2023,Entercom Communications,724972922289,AWS Lambda,16.4369546727
29,DEC,2023,Entercom Communications,724972922289,AWS Lambda,0.0606071869
30,DEC,2023,Entercom Communications,724972922289,AWS Lambda,51.5821096001
31,DEC,2023,Entercom Communications,724972922289,AWS Lambda,4.9073493219
32,DEC,2023,Entercom Communications,724972922289,AWS Lambda,15.1549831441
33,DEC,2023,Entercom Communications,724972922289,AWS Lambda,2.5781062404
34,DEC,2023,Entercom Communications,724972922289,AWS Lambda,0.0002113859
35,DEC,2023,Entercom Communications,724972922289,AWS Lambda,2.7927346367
36,DEC,2023,Entercom Communications,724972922289,AWS Migration Hub Refactor Spaces,0.0
37,DEC,2023,Entercom Communications,724972922289,AWS Secrets Manager,131.3391556214
38,DEC,2023,Entercom Communications,724972922289,AWS Secrets Manager,16.175965475
39,DEC,2023,Entercom Communications,724972922289,AWS Secrets Manager,15.882075775
40,DEC,2023,Entercom Communications,724972922289,AWS Security Hub,446.2122229
41,DEC,2023,Entercom Communications,724972922289,AWS Service Catalog,0.0
42,DEC,2023,Entercom Communications,724972922289,AWS Step Functions,0.0013030023
43,DEC,2023,Entercom Communications,724972922289,AWS Support (Enterprise),40184.0
44,DEC,2023,Entercom Communications,724972922289,AWS Systems Manager,0.1436416
