,Month,Year,Name,Account,Service,Cost
0,FEB,2024,Entercom Communications,724972922289,AWS Amplify,0.0
1,FEB,2024,Entercom Communications,724972922289,AWS Backup,4.3662152879
2,FEB,2024,Entercom Communications,724972922289,AWS Backup,114.2588714488
3,FEB,2024,Entercom Communications,724972922289,AWS Budgets,0.26245
4,FEB,2024,Entercom Communications,724972922289,AWS Certificate Manager,1448.0
5,FEB,2024,Entercom Communications,724972922289,AWS CloudTrail,7703.2090862408
6,FEB,2024,Entercom Communications,724972922289,AWS Config,1713.412789
7,FEB,2024,Entercom Communications,724972922289,AWS Cost Explorer,10.09075
8,FEB,2024,Entercom Communications,724972922289,AWS Data Exchange,0.0893499048
9,FEB,2024,Entercom Communications,724972922289,AWS DataSync,1.8178488772
10,FEB,2024,Entercom Communications,724972922289,AWS Database Migration Service,151.8011409162
11,FEB,2024,Entercom Communications,724972922289,AWS Directory Service,460.6178634287
12,FEB,2024,Entercom Communications,724972922289,AWS Elemental MediaLive,25.1952
13,FEB,2024,Entercom Communications,724972922289,AWS Elemental MediaStore,0.0001737216
14,FEB,2024,Entercom Communications,724972922289,AWS End User Messaging,2.714999952
15,FEB,2024,Entercom Communications,724972922289,AWS Global Accelerator,0.0
16,FEB,2024,Entercom Communications,724972922289,AWS Global Accelerator,31.4992882298
17,FEB,2024,Entercom Communications,724972922289,AWS Glue,12.4112027248
18,FEB,2024,Entercom Communications,724972922289,AWS Identity and Access Management Access Analyzer,0.00362
19,FEB,2024,Entercom Communications,724972922289,AWS Key Management Service,146.6292966486
20,FEB,2024,Entercom Communications,724972922289,AWS Key Management Service,1.8217965966
21,FEB,2024,Entercom Communications,724972922289,AWS Key Management Service,0.9067022658
22,FEB,2024,Entercom Communications,724972922289,AWS Key Management Service,0.9058769058
23,FEB,2024,Entercom Communications,724972922289,AWS Key Management Service,70.9701354978
24,FEB,2024,Entercom Communications,724972922289,AWS Key Management Service,47.8199516022
25,FEB,2024,Entercom Communications,724972922289,AWS Key Management Service,1.8100189266
26,FEB,2024,Entercom Communications,724972922289,AWS Key Management Service,1.8127475016
27,FEB,2024,Entercom Communications,724972922289,AWS Lambda,1041.9392666883
28,FEB,2024,Entercom Communications,724972922289,AWS Lambda,15.8931816486
29,FEB,2024,Entercom Communications,724972922289,AWS Lambda,0.0589754083
30,FEB,2024,Entercom Communications,724972922289,AWS Lambda,48.139966567
31,FEB,2024,Entercom Communications,724972922289,AWS Lambda,4.788082392
32,FEB,2024,Entercom Communications,724972922289,AWS Lambda,7.6146037066
33,FEB,2024,Entercom Communications,724972922289,AWS Lambda,2.4085416132
34,FEB,2024,Entercom Communications,724972922289,AWS Lambda,0.0001945789
35,FEB,2024,Entercom Communications,724972922289,AWS Lambda,2.6642148583
36,FEB,2024,Entercom Communications,724972922289,AWS Migration Hub Refactor Spaces,0.0
37,FEB,2024,Entercom Communications,724972922289,AWS Secrets Manager,129.4200208789
38,FEB,2024,Entercom Communications,724972922289,AWS Secrets Manager,16.169956275
39,FEB,2024,Entercom Communications,724972922289,AWS Secrets Manager,16.02936905
40,FEB,2024,Entercom Communications,724972922289,AWS Security Hub,380.04435155
41,FEB,2024,Entercom Communications,724972922289,AWS Service Catalog,0.0
42,FEB,2024,Entercom Communications,724972922289,AWS Step Functions,0.0012417796
43,FEB,2024,Entercom Communications,724972922289,AWS Support (Enterprise),41999.63
44,FEB,2024,Entercom Communications,724972922289,AWS Systems Manager,0.132568925
45,FEB,2024,Entercom Communications,724972922289,AWS Transfer Family,193.6925277284
46,FEB,2024,Entercom Communications,724972922289,AWS WAF,120.6372252517
47,FEB,2024,Entercom Communications,724972922289,AWS WAF,9.8975327484
48,FEB,2024,Entercom Communications,724972922289,AWS WAF,19.0051975944
49,FEB,2024,Entercom Communications,724972922289,AWS X-Ray,69.9822477025
50,FEB,2024,Entercom Communications,724972922289,Amazon API Gateway,63.330557894
51,FEB,2024,Entercom Communications,724972922289,Amazon API Gateway,5.1374e-05
52,FEB,2024,Entercom Communications,724972922289,Amazon CloudFront,14050.903404718
53,FEB,2024,Entercom Communications,724972922289,Amazon CloudFront,0.0351359174
54,FEB,2024,Entercom Communications,724972922289,Amazon CloudFront,106.6544063336
55,FEB,2024,Entercom Communications,724972922289,Amazon CloudFront,993.1931765555
56,FEB,2024,Entercom Communications,724972922289,Amazon CloudFront,1.0062742025
57,FEB,2024,Entercom Communications,724972922289,Amazon CloudFront,7.23667e-05
58,FEB,2024,Entercom Communications,724972922289,Amazon Cognito,7.8735
59,FEB,2024,Entercom Communications,724972922289,Amazon Detective,554.0886641526
60,FEB,2024,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),144.5051077124
61,FEB,2024,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),319.8730816025
62,FEB,2024,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),276.1403139434
63,FEB,2024,Entercom Communications,724972922289,Amazon DynamoDB,128.1300373401
64,FEB,2024,Entercom Communications,724972922289,Amazon DynamoDB,2.569476
65,FEB,2024,Entercom Communications,724972922289,Amazon DynamoDB,11.1651158093
66,FEB,2024,Entercom Communications,724972922289,Amazon DynamoDB,143.5048932199
67,FEB,2024,Entercom Communications,724972922289,Amazon DynamoDB,2.5694761054
68,FEB,2024,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),136.3973697316
69,FEB,2024,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.0331308528
70,FEB,2024,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.1007574144
71,FEB,2024,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.3638286408
72,FEB,2024,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),507.1127834375
73,FEB,2024,Entercom Communications,724972922289,Amazon ElastiCache,7700.20698
74,FEB,2024,Entercom Communications,724972922289,Amazon ElastiCache,287.22528
75,FEB,2024,Entercom Communications,724972922289,Amazon ElastiCache,6385.09356
76,FEB,2024,Entercom Communications,724972922289,Amazon ElastiCache,393.04512
77,FEB,2024,Entercom Communications,724972922289,Amazon ElastiCache,4163.916765
78,FEB,2024,Entercom Communications,724972922289,Amazon ElastiCache,483.74784
79,FEB,2024,Entercom Communications,724972922289,EC2 - Other,38632.211473455
80,FEB,2024,Entercom Communications,724972922289,EC2 - Other,0.7385614522
81,FEB,2024,Entercom Communications,724972922289,EC2 - Other,0.0041145193
82,FEB,2024,Entercom Communications,724972922289,EC2 - Other,28.344603883
83,FEB,2024,Entercom Communications,724972922289,EC2 - Other,349.6551996915
84,FEB,2024,Entercom Communications,724972922289,EC2 - Other,0.72725838
85,FEB,2024,Entercom Communications,724972922289,EC2 - Other,18.3409227759
86,FEB,2024,Entercom Communications,724972922289,EC2 - Other,1298.8787817795
87,FEB,2024,Entercom Communications,724972922289,EC2 - Other,96.4139676769
88,FEB,2024,Entercom Communications,724972922289,EC2 - Other,6251.1460394682
89,FEB,2024,Entercom Communications,724972922289,EC2 - Other,1275.4578532208
90,FEB,2024,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,73551.762271827
