,Month,Year,Name,Account,Service,Cost,Enviroment
0,JAN,2025,Entercom Communications,724972922289,AWS Amplify,0.0068415921,Environment$
1,JAN,2025,Entercom Communications,724972922289,AWS Backup,2.6485549414,Environment$
2,JAN,2025,Entercom Communications,724972922289,AWS Backup,174.398597125,Environment$prod
3,JAN,2025,Entercom Communications,724972922289,AWS Budgets,0.5642,Environment$
4,JAN,2025,Entercom Communications,724972922289,AWS Certificate Manager,1456.0,Environment$
5,JAN,2025,Entercom Communications,724972922289,AWS CloudFormation,0.0,Environment$
6,JAN,2025,Entercom Communications,724972922289,AWS CloudShell,9.1287e-06,Environment$
7,JAN,2025,Entercom Communications,724972922289,AWS CloudTrail,4267.7932087043,Environment$
8,JAN,2025,Entercom Communications,724972922289,AWS Config,5597.39271,Environment$
9,JAN,2025,Entercom Communications,724972922289,AWS Cost Explorer,40.7862,Environment$
10,JAN,2025,Entercom Communications,724972922289,AWS DataSync,9.62716844,Environment$
11,JAN,2025,Entercom Communications,724972922289,AWS Database Migration Service,2648.1957791323,Environment$
12,JAN,2025,Entercom Communications,724972922289,AWS Database Migration Service,93.4783899056,Environment$nonprod
13,JAN,2025,Entercom Communications,724972922289,AWS Directory Service,494.12366115,Environment$
14,JAN,2025,Entercom Communications,724972922289,AWS Elemental MediaLive,27.0816,Environment$
15,JAN,2025,Entercom Communications,724972922289,AWS Elemental MediaStore,0.0001746912,Environment$
16,JAN,2025,Entercom Communications,724972922289,AWS End User Messaging,2.7299999712,Environment$
17,JAN,2025,Entercom Communications,724972922289,AWS Global Accelerator,0.0,Environment$
18,JAN,2025,Entercom Communications,724972922289,AWS Global Accelerator,33.8570972152,Environment$nonprod
19,JAN,2025,Entercom Communications,724972922289,AWS Glue,14.4360912696,Environment$
20,JAN,2025,Entercom Communications,724972922289,AWS Key Management Service,181.9010570473,Environment$
21,JAN,2025,Entercom Communications,724972922289,AWS Key Management Service,1.8513673389,Environment$Production
22,JAN,2025,Entercom Communications,724972922289,AWS Key Management Service,0.9126288486,Environment$dev
23,JAN,2025,Entercom Communications,724972922289,AWS Key Management Service,0.9262271352,Environment$loadtest
24,JAN,2025,Entercom Communications,724972922289,AWS Key Management Service,76.0484160126,Environment$nonprod
25,JAN,2025,Entercom Communications,724972922289,AWS Key Management Service,61.7112144372,Environment$prod
26,JAN,2025,Entercom Communications,724972922289,AWS Key Management Service,1.8163306755,Environment$sandbox
27,JAN,2025,Entercom Communications,724972922289,AWS Key Management Service,1.8151075572,Environment$shared
28,JAN,2025,Entercom Communications,724972922289,AWS Key Management Service,1.8378894855,Environment$stg
29,JAN,2025,Entercom Communications,724972922289,AWS Lambda,3988.853760551,Environment$
30,JAN,2025,Entercom Communications,724972922289,AWS Lambda,24.0138329183,Environment$Production
31,JAN,2025,Entercom Communications,724972922289,AWS Lambda,0.0007154131,Environment$aardvark-prd
32,JAN,2025,Entercom Communications,724972922289,AWS Lambda,41.2271815996,Environment$dev
33,JAN,2025,Entercom Communications,724972922289,AWS Lambda,1.9267048272,Environment$nonprod
34,JAN,2025,Entercom Communications,724972922289,AWS Lambda,5.8771865836,Environment$prd
