,Month,Year,Name,Account,Service,Cost
0,JUL,2024,Entercom Communications,724972922289,AWS Amplify,0.0
1,JUL,2024,Entercom Communications,724972922289,AWS Backup,4.5374824017
2,JUL,2024,Entercom Communications,724972922289,AWS Backup,130.8208099597
3,JUL,2024,Entercom Communications,724972922289,AWS Budgets,0.2821
4,JUL,2024,Entercom Communications,724972922289,AWS Certificate Manager,1456.0
5,JUL,2024,Entercom Communications,724972922289,AWS CloudShell,1.289e-07
6,JUL,2024,Entercom Communications,724972922289,AWS CloudTrail,10997.7769561868
7,JUL,2024,Entercom Communications,724972922289,AWS Config,2151.613282
8,JUL,2024,Entercom Communications,724972922289,AWS Cost Explorer,10.6561
9,JUL,2024,Entercom Communications,724972922289,AWS DataSync,952.4088296769
10,JUL,2024,Entercom Communications,724972922289,AWS Database Migration Service,163.1667062444
11,JUL,2024,Entercom Communications,724972922289,AWS Directory Service,493.8257561861
12,JUL,2024,Entercom Communications,724972922289,AWS Elemental MediaLive,27.0816
13,JUL,2024,Entercom Communications,724972922289,AWS Elemental MediaStore,0.0001746912
14,JUL,2024,Entercom Communications,724972922289,AWS End User Messaging,2.7299999712
15,JUL,2024,Entercom Communications,724972922289,AWS Global Accelerator,0.0
16,JUL,2024,Entercom Communications,724972922289,AWS Global Accelerator,33.8709024821
17,JUL,2024,Entercom Communications,724972922289,AWS Glue,18.0449641372
18,JUL,2024,Entercom Communications,724972922289,AWS Key Management Service,162.5452576978
19,JUL,2024,Entercom Communications,724972922289,AWS Key Management Service,1.8181021323
20,JUL,2024,Entercom Communications,724972922289,AWS Key Management Service,0.9124813503
21,JUL,2024,Entercom Communications,724972922289,AWS Key Management Service,0.9109063752
22,JUL,2024,Entercom Communications,724972922289,AWS Key Management Service,75.0216819843
23,JUL,2024,Entercom Communications,724972922289,AWS Key Management Service,52.7311238676
24,JUL,2024,Entercom Communications,724972922289,AWS Key Management Service,1.8163306755
25,JUL,2024,Entercom Communications,724972922289,AWS Key Management Service,1.8155414706
26,JUL,2024,Entercom Communications,724972922289,AWS Lambda,1717.9274260545
27,JUL,2024,Entercom Communications,724972922289,AWS Lambda,15.926011436
28,JUL,2024,Entercom Communications,724972922289,AWS Lambda,0.0011991094
29,JUL,2024,Entercom Communications,724972922289,AWS Lambda,36.3567552179
30,JUL,2024,Entercom Communications,724972922289,AWS Lambda,3.1727597625
31,JUL,2024,Entercom Communications,724972922289,AWS Lambda,5.5585590619
32,JUL,2024,Entercom Communications,724972922289,AWS Lambda,15.2350906663
33,JUL,2024,Entercom Communications,724972922289,AWS Lambda,2.7148644061
34,JUL,2024,Entercom Communications,724972922289,AWS Lambda,0.0002116717
35,JUL,2024,Entercom Communications,724972922289,AWS Lambda,2.3956910042
36,JUL,2024,Entercom Communications,724972922289,AWS Migration Hub Refactor Spaces,0.0
37,JUL,2024,Entercom Communications,724972922289,AWS Secrets Manager,103.4049477408
38,JUL,2024,Entercom Communications,724972922289,AWS Secrets Manager,41.10756195
39,JUL,2024,Entercom Communications,724972922289,AWS Secrets Manager,31.2957918
40,JUL,2024,Entercom Communications,724972922289,AWS Security Hub,432.2925607
41,JUL,2024,Entercom Communications,724972922289,AWS Service Catalog,0.0
42,JUL,2024,Entercom Communications,724972922289,AWS Step Functions,0.0017411436
43,JUL,2024,Entercom Communications,724972922289,AWS Support (Enterprise),47944.6058
44,JUL,2024,Entercom Communications,724972922289,AWS Systems Manager,0.1424878
45,JUL,2024,Entercom Communications,724972922289,AWS Transfer Family,204.256134197
46,JUL,2024,Entercom Communications,724972922289,AWS WAF,111.5730973301
47,JUL,2024,Entercom Communications,724972922289,AWS WAF,10.1700130548
48,JUL,2024,Entercom Communications,724972922289,AWS WAF,1233.6105400908
49,JUL,2024,Entercom Communications,724972922289,AWS X-Ray,74.31697091
50,JUL,2024,Entercom Communications,724972922289,Amazon API Gateway,68.9219589036
51,JUL,2024,Entercom Communications,724972922289,Amazon API Gateway,5.1654e-05
52,JUL,2024,Entercom Communications,724972922289,Amazon Athena,0.0001365
53,JUL,2024,Entercom Communications,724972922289,Amazon CloudFront,14950.7552519544
54,JUL,2024,Entercom Communications,724972922289,Amazon CloudFront,0.1380971578
55,JUL,2024,Entercom Communications,724972922289,Amazon CloudFront,13.4794292898
56,JUL,2024,Entercom Communications,724972922289,Amazon CloudFront,1129.6486693306
57,JUL,2024,Entercom Communications,724972922289,Amazon CloudFront,0.0342574856
58,JUL,2024,Entercom Communications,724972922289,Amazon CloudFront,1.0821e-06
59,JUL,2024,Entercom Communications,724972922289,Amazon Cognito,9.32295
60,JUL,2024,Entercom Communications,724972922289,Amazon Detective,438.2377834051
61,JUL,2024,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),156.2604922857
62,JUL,2024,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),389.9016332
63,JUL,2024,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),364.6675173565
64,JUL,2024,Entercom Communications,724972922289,Amazon DynamoDB,139.3912797559
