,Month,Year,Name,Account,Service,Cost,Enviroment
0,JUN,2025,Entercom Communications,724972922289,AWS Amplify,0.0157149948,Environment$
1,JUN,2025,Entercom Communications,724972922289,AWS Backup,1.0810040434,Environment$
2,JUN,2025,Entercom Communications,724972922289,AWS Backup,103.9196388204,Environment$prod
3,JUN,2025,Entercom Communications,724972922289,AWS Budgets,0.34,Environment$
4,JUN,2025,Entercom Communications,724972922289,AWS Certificate Manager,1200.0,Environment$
5,JUN,2025,Entercom Communications,724972922289,AWS CloudFormation,0.0,Environment$
6,JUN,2025,Entercom Communications,724972922289,AWS CloudTrail,1936.8965197583,Environment$
7,JUN,2025,Entercom Communications,724972922289,AWS Config,1272.928,Environment$
8,JUN,2025,Entercom Communications,724972922289,AWS Cost Explorer,67.76,Environment$
9,JUN,2025,Entercom Communications,724972922289,AWS DataSync,7.8913207809,Environment$
10,JUN,2025,Entercom Communications,724972922289,AWS DataSync,17.657183881,Environment$nonprod
11,JUN,2025,Entercom Communications,724972922289,AWS Database Migration Service,1718.5998333578,Environment$
12,JUN,2025,Entercom Communications,724972922289,AWS Database Migration Service,167.2582110948,Environment$nonprod
13,JUN,2025,Entercom Communications,724972922289,AWS Direct Connect,578.3631294504,Environment$
14,JUN,2025,Entercom Communications,724972922289,AWS Directory Service,267.446996139,Environment$
15,JUN,2025,Entercom Communications,724972922289,AWS Elemental MediaLive,14.68,Environment$
16,JUN,2025,Entercom Communications,724972922289,AWS Elemental MediaStore,9.70424e-05,Environment$
17,JUN,2025,Entercom Communications,724972922289,AWS End User Messaging,1.5291666789,Environment$
18,JUN,2025,Entercom Communications,724972922289,AWS Global Accelerator,18.35,Environment$nonprod
19,JUN,2025,Entercom Communications,724972922289,AWS Glue,1.88156364,Environment$
20,JUN,2025,Entercom Communications,724972922289,AWS Key Management Service,86.7653413242,Environment$
21,JUN,2025,Entercom Communications,724972922289,AWS Key Management Service,1.2631526766,Environment$Production
22,JUN,2025,Entercom Communications,724972922289,AWS Key Management Service,0.5044217818,Environment$dev
23,JUN,2025,Entercom Communications,724972922289,AWS Key Management Service,0.5105892263,Environment$loadtest
24,JUN,2025,Entercom Communications,724972922289,AWS Key Management Service,34.9896772594,Environment$nonprod
25,JUN,2025,Entercom Communications,724972922289,AWS Key Management Service,32.5126992715,Environment$prod
26,JUN,2025,Entercom Communications,724972922289,AWS Key Management Service,1.0111111192,Environment$shared
27,JUN,2025,Entercom Communications,724972922289,AWS Key Management Service,0.5032697818,Environment$stg
28,JUN,2025,Entercom Communications,724972922289,AWS Lambda,974.8213515872,Environment$
29,JUN,2025,Entercom Communications,724972922289,AWS Lambda,5.0682413908,Environment$Development
