,Month,Year,Name,Account,Service,Cost
0,MAR,2024,Entercom Communications,724972922289,AWS Amplify,0.0
1,MAR,2024,Entercom Communications,724972922289,AWS Backup,4.4100392074
2,MAR,2024,Entercom Communications,724972922289,AWS Backup,117.3147534002
3,MAR,2024,Entercom Communications,724972922289,AWS Budgets,0.2821
4,MAR,2024,Entercom Communications,724972922289,AWS Certificate Manager,1456.0
5,MAR,2024,Entercom Communications,724972922289,AWS CloudShell,5.637e-07
6,MAR,2024,Entercom Communications,724972922289,AWS CloudTrail,9046.1498415712
7,MAR,2024,Entercom Communications,724972922289,AWS Config,1909.919648
8,MAR,2024,Entercom Communications,724972922289,AWS Cost Explorer,10.9746
9,MAR,2024,Entercom Communications,724972922289,AWS Data Exchange,0.0898436425
10,MAR,2024,Entercom Communications,724972922289,AWS DataSync,2.2464138514
11,MAR,2024,Entercom Communications,724972922289,AWS Database Migration Service,163.1667073165
12,MAR,2024,Entercom Communications,724972922289,AWS Directory Service,493.736621064
13,MAR,2024,Entercom Communications,724972922289,AWS Elemental MediaLive,27.0816
14,MAR,2024,Entercom Communications,724972922289,AWS Elemental MediaStore,0.0001746912
15,MAR,2024,Entercom Communications,724972922289,AWS End User Messaging,2.7299999712
16,MAR,2024,Entercom Communications,724972922289,AWS Global Accelerator,0.0
17,MAR,2024,Entercom Communications,724972922289,AWS Global Accelerator,33.8582882974
18,MAR,2024,Entercom Communications,724972922289,AWS Glue,11.9320777576
19,MAR,2024,Entercom Communications,724972922289,AWS Key Management Service,152.1499109079
20,MAR,2024,Entercom Communications,724972922289,AWS Key Management Service,1.8202096923
21,MAR,2024,Entercom Communications,724972922289,AWS Key Management Service,0.9093719586
22,MAR,2024,Entercom Communications,724972922289,AWS Key Management Service,0.9109254852
23,MAR,2024,Entercom Communications,724972922289,AWS Key Management Service,73.1752501377
24,MAR,2024,Entercom Communications,724972922289,AWS Key Management Service,48.8050059036
25,MAR,2024,Entercom Communications,724972922289,AWS Key Management Service,1.8175892838
26,MAR,2024,Entercom Communications,724972922289,AWS Key Management Service,1.8192818055
27,MAR,2024,Entercom Communications,724972922289,AWS Lambda,1157.5405372624
28,MAR,2024,Entercom Communications,724972922289,AWS Lambda,17.6993387119
29,MAR,2024,Entercom Communications,724972922289,AWS Lambda,0.0738653633
30,MAR,2024,Entercom Communications,724972922289,AWS Lambda,47.0103675458
31,MAR,2024,Entercom Communications,724972922289,AWS Lambda,0.6475118478
32,MAR,2024,Entercom Communications,724972922289,AWS Lambda,5.7695263851
33,MAR,2024,Entercom Communications,724972922289,AWS Lambda,9.4330933189
34,MAR,2024,Entercom Communications,724972922289,AWS Lambda,2.6225856286
35,MAR,2024,Entercom Communications,724972922289,AWS Lambda,0.0002145302
36,MAR,2024,Entercom Communications,724972922289,AWS Lambda,2.866450213
37,MAR,2024,Entercom Communications,724972922289,AWS Migration Hub Refactor Spaces,0.0
38,MAR,2024,Entercom Communications,724972922289,AWS Secrets Manager,136.1820598979
39,MAR,2024,Entercom Communications,724972922289,AWS Secrets Manager,22.18797945
40,MAR,2024,Entercom Communications,724972922289,AWS Secrets Manager,18.36315845
41,MAR,2024,Entercom Communications,724972922289,AWS Security Hub,388.9318524
42,MAR,2024,Entercom Communications,724972922289,AWS Service Catalog,0.0
43,MAR,2024,Entercom Communications,724972922289,AWS Step Functions,0.0013680835
44,MAR,2024,Entercom Communications,724972922289,AWS Support (Enterprise),52728.98
45,MAR,2024,Entercom Communications,724972922289,AWS Systems Manager,0.14249235
46,MAR,2024,Entercom Communications,724972922289,AWS Transfer Family,207.093801778
47,MAR,2024,Entercom Communications,724972922289,AWS WAF,113.6638492176
48,MAR,2024,Entercom Communications,724972922289,AWS WAF,11.2697536968
49,MAR,2024,Entercom Communications,724972922289,AWS WAF,12.9697814877
50,MAR,2024,Entercom Communications,724972922289,AWS X-Ray,74.766544125
51,MAR,2024,Entercom Communications,724972922289,Amazon API Gateway,68.4021643579
52,MAR,2024,Entercom Communications,724972922289,Amazon API Gateway,5.81108e-05
53,MAR,2024,Entercom Communications,724972922289,Amazon CloudFront,14706.8719008395
54,MAR,2024,Entercom Communications,724972922289,Amazon CloudFront,0.1018384396
55,MAR,2024,Entercom Communications,724972922289,Amazon CloudFront,89.5414077737
56,MAR,2024,Entercom Communications,724972922289,Amazon CloudFront,1172.8047542833
57,MAR,2024,Entercom Communications,724972922289,Amazon CloudFront,4.243394221
58,MAR,2024,Entercom Communications,724972922289,Amazon CloudFront,6.54461e-05
59,MAR,2024,Entercom Communications,724972922289,Amazon Cognito,7.7259
60,MAR,2024,Entercom Communications,724972922289,Amazon Detective,575.8633097385
61,MAR,2024,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),155.302656063
62,MAR,2024,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),377.1953862289
63,MAR,2024,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),414.734656232
64,MAR,2024,Entercom Communications,724972922289,Amazon DynamoDB,139.3372774973
65,MAR,2024,Entercom Communications,724972922289,Amazon DynamoDB,2.782416
66,MAR,2024,Entercom Communications,724972922289,Amazon DynamoDB,11.2548446866
67,MAR,2024,Entercom Communications,724972922289,Amazon DynamoDB,154.5509127151
68,MAR,2024,Entercom Communications,724972922289,Amazon DynamoDB,2.7824160551
69,MAR,2024,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),138.1381735826
70,MAR,2024,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.0333139392
71,MAR,2024,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.1013141256
72,MAR,2024,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.3658387128
73,MAR,2024,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),548.0809147616
74,MAR,2024,Entercom Communications,724972922289,Amazon ElastiCache,10436.01195
75,MAR,2024,Entercom Communications,724972922289,Amazon ElastiCache,308.73024
76,MAR,2024,Entercom Communications,724972922289,Amazon ElastiCache,6936.09462
77,MAR,2024,Entercom Communications,724972922289,Amazon ElastiCache,421.90512
78,MAR,2024,Entercom Communications,724972922289,Amazon ElastiCache,4825.26408
79,MAR,2024,Entercom Communications,724972922289,Amazon ElastiCache,519.6828
80,MAR,2024,Entercom Communications,724972922289,EC2 - Other,42116.3661212151
81,MAR,2024,Entercom Communications,724972922289,EC2 - Other,0.7402296724
82,MAR,2024,Entercom Communications,724972922289,EC2 - Other,0.0029224142
83,MAR,2024,Entercom Communications,724972922289,EC2 - Other,30.4668035646
84,MAR,2024,Entercom Communications,724972922289,EC2 - Other,203.2854403852
85,MAR,2024,Entercom Communications,724972922289,EC2 - Other,0.730768362
86,MAR,2024,Entercom Communications,724972922289,EC2 - Other,18.4115249426
87,MAR,2024,Entercom Communications,724972922289,EC2 - Other,1380.8354213472
88,MAR,2024,Entercom Communications,724972922289,EC2 - Other,96.2892822812
89,MAR,2024,Entercom Communications,724972922289,EC2 - Other,6920.2057109331
90,MAR,2024,Entercom Communications,724972922289,EC2 - Other,1543.5934650744
91,MAR,2024,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,73773.7606488808
