,Month,Year,Name,Account,Service,Cost,Enviroment
0,MAR,2025,Entercom Communications,724972922289,AWS Amplify,0.0028018086,Environment$
1,MAR,2025,Entercom Communications,724972922289,AWS Backup,2.0463308678,Environment$
2,MAR,2025,Entercom Communications,724972922289,AWS Backup,180.3368047471,Environment$prod
3,MAR,2025,Entercom Communications,724972922289,AWS Budgets,0.5642,Environment$
4,MAR,2025,Entercom Communications,724972922289,AWS Certificate Manager,1126.61042676,Environment$
5,MAR,2025,Entercom Communications,724972922289,AWS CloudFormation,0.0,Environment$
6,MAR,2025,Entercom Communications,724972922289,AWS CloudShell,5.62e-07,Environment$
7,MAR,2025,Entercom Communications,724972922289,AWS CloudTrail,3477.8805483997,Environment$
8,MAR,2025,Entercom Communications,724972922289,AWS CodeCommit,0.0,Environment$
9,MAR,2025,Entercom Communications,724972922289,AWS CodePipeline,0.0,Environment$
10,MAR,2025,Entercom Communications,724972922289,AWS Config,2160.479776,Environment$
11,MAR,2025,Entercom Communications,724972922289,AWS Cost Explorer,10.7653,Environment$
12,MAR,2025,Entercom Communications,724972922289,AWS DataSync,12.1928130541,Environment$
13,MAR,2025,Entercom Communications,724972922289,AWS Database Migration Service,2742.4274689906,Environment$
14,MAR,2025,Entercom Communications,724972922289,AWS Database Migration Service,308.3618720592,Environment$nonprod
15,MAR,2025,Entercom Communications,724972922289,AWS Directory Service,494.2488148973,Environment$
16,MAR,2025,Entercom Communications,724972922289,AWS Elemental MediaLive,27.0816,Environment$
17,MAR,2025,Entercom Communications,724972922289,AWS Elemental MediaStore,0.0001746912,Environment$
18,MAR,2025,Entercom Communications,724972922289,AWS End User Messaging,2.7299999712,Environment$
19,MAR,2025,Entercom Communications,724972922289,AWS Global Accelerator,0.0,Environment$
20,MAR,2025,Entercom Communications,724972922289,AWS Global Accelerator,33.8525884055,Environment$nonprod
21,MAR,2025,Entercom Communications,724972922289,AWS Glue,1.6878849988,Environment$
22,MAR,2025,Entercom Communications,724972922289,AWS Key Management Service,168.0155514646,Environment$
23,MAR,2025,Entercom Communications,724972922289,AWS Key Management Service,1.8502753389,Environment$Production
24,MAR,2025,Entercom Communications,724972922289,AWS Key Management Service,0.9072888903,Environment$dev
25,MAR,2025,Entercom Communications,724972922289,AWS Key Management Service,0.9103602969,Environment$loadtest
26,MAR,2025,Entercom Communications,724972922289,AWS Key Management Service,68.9214985965,Environment$nonprod
27,MAR,2025,Entercom Communications,724972922289,AWS Key Management Service,59.5915105293,Environment$prod
28,MAR,2025,Entercom Communications,724972922289,AWS Key Management Service,0.2874437205,Environment$sandbox
29,MAR,2025,Entercom Communications,724972922289,AWS Key Management Service,1.8163470555,Environment$shared
30,MAR,2025,Entercom Communications,724972922289,AWS Key Management Service,1.0181230173,Environment$stg
31,MAR,2025,Entercom Communications,724972922289,AWS Lambda,1939.3155227632,Environment$
32,MAR,2025,Entercom Communications,724972922289,AWS Lambda,4.4612902179,Environment$Development
33,MAR,2025,Entercom Communications,724972922289,AWS Lambda,12.7403776257,Environment$Production
34,MAR,2025,Entercom Communications,724972922289,AWS Lambda,0.000209452,Environment$aardvark-prd
35,MAR,2025,Entercom Communications,724972922289,AWS Lambda,1.119267595,Environment$dev
36,MAR,2025,Entercom Communications,724972922289,AWS Lambda,2.1659813328,Environment$nonprod
37,MAR,2025,Entercom Communications,724972922289,AWS Lambda,5.8329866203,Environment$prd
38,MAR,2025,Entercom Communications,724972922289,AWS Lambda,15.3065778595,Environment$prod
39,MAR,2025,Entercom Communications,724972922289,AWS Lambda,0.7272765634,Environment$stg
40,MAR,2025,Entercom Communications,724972922289,AWS Secrets Manager,131.3261771349,Environment$
41,MAR,2025,Entercom Communications,724972922289,AWS Secrets Manager,44.1277837,Environment$nonprod
42,MAR,2025,Entercom Communications,724972922289,AWS Secrets Manager,39.15264535,Environment$prod
43,MAR,2025,Entercom Communications,724972922289,AWS Security Hub,246.0860857,Environment$
44,MAR,2025,Entercom Communications,724972922289,AWS Service Catalog,0.0,Environment$
45,MAR,2025,Entercom Communications,724972922289,AWS Step Functions,0.0024509599,Environment$
46,MAR,2025,Entercom Communications,724972922289,AWS Support (Enterprise),47910.0531,Environment$
47,MAR,2025,Entercom Communications,724972922289,AWS Systems Manager,0.1421784,Environment$
48,MAR,2025,Entercom Communications,724972922289,AWS Transfer Family,203.5935941269,Environment$
49,MAR,2025,Entercom Communications,724972922289,AWS WAF,103.7293923497,Environment$
50,MAR,2025,Entercom Communications,724972922289,AWS WAF,11.251596846,Environment$nonprod
51,MAR,2025,Entercom Communications,724972922289,AWS WAF,1462.442571534,Environment$prod
52,MAR,2025,Entercom Communications,724972922289,AWS X-Ray,45.729166665,Environment$
53,MAR,2025,Entercom Communications,724972922289,Amazon API Gateway,194.4478352723,Environment$
54,MAR,2025,Entercom Communications,724972922289,Amazon Athena,9.22269075,Environment$
55,MAR,2025,Entercom Communications,724972922289,Amazon CloudFront,16083.1858318378,Environment$
56,MAR,2025,Entercom Communications,724972922289,Amazon CloudFront,1.979390182,Environment$nonprod
57,MAR,2025,Entercom Communications,724972922289,Amazon CloudFront,2.2836541628,Environment$prd
58,MAR,2025,Entercom Communications,724972922289,Amazon CloudFront,5650.0261872015,Environment$prod
59,MAR,2025,Entercom Communications,724972922289,Amazon CloudFront,0.0513142004,Environment$qa
