,Month,Year,Name,Account,Service,Cost
0,MAY,2023,Entercom Communications,724972922289,AWS Backup,3.4548138204
1,MAY,2023,Entercom Communications,724972922289,AWS Backup,1.24e-08
2,MAY,2023,Entercom Communications,724972922289,AWS Backup,564.0660201006
3,MAY,2023,Entercom Communications,724972922289,AWS Budgets,0.28055
4,MAY,2023,Entercom Communications,724972922289,AWS Certificate Manager,1448.0
5,MAY,2023,Entercom Communications,724972922289,AWS Certificate Manager,362.0
6,MAY,2023,Entercom Communications,724972922289,AWS CloudShell,0.0
7,MAY,2023,Entercom Communications,724972922289,AWS CloudTrail,5537.0897463162
8,MAY,2023,Entercom Communications,724972922289,AWS CodeCommit,0.0
9,MAY,2023,Entercom Communications,724972922289,AWS CodePipeline,0.0
10,MAY,2023,Entercom Communications,724972922289,AWS Config,1778.684285
11,MAY,2023,Entercom Communications,724972922289,AWS Cost Explorer,51.03295
12,MAY,2023,Entercom Communications,724972922289,AWS Data Exchange,0.0893500104
13,MAY,2023,Entercom Communications,724972922289,AWS Database Migration Service,162.270190811
14,MAY,2023,Entercom Communications,724972922289,AWS Directory Service,458.0051588486
15,MAY,2023,Entercom Communications,724972922289,AWS Elemental MediaLive,26.9305375
16,MAY,2023,Entercom Communications,724972922289,AWS Elemental MediaStore,0.000173724
17,MAY,2023,Entercom Communications,724972922289,AWS Global Accelerator,0.0
18,MAY,2023,Entercom Communications,724972922289,AWS Global Accelerator,84.1724443918
19,MAY,2023,Entercom Communications,724972922289,AWS Glue,0.0
20,MAY,2023,Entercom Communications,724972922289,AWS Key Management Service,108.7326018796
21,MAY,2023,Entercom Communications,724972922289,AWS Key Management Service,1.8013871684
22,MAY,2023,Entercom Communications,724972922289,AWS Key Management Service,10.2090597338
23,MAY,2023,Entercom Communications,724972922289,AWS Key Management Service,0.0958862934
24,MAY,2023,Entercom Communications,724972922289,AWS Key Management Service,1.352159073
25,MAY,2023,Entercom Communications,724972922289,AWS Key Management Service,0.9059990832
26,MAY,2023,Entercom Communications,724972922289,AWS Key Management Service,63.8461383172
27,MAY,2023,Entercom Communications,724972922289,AWS Key Management Service,39.992961407
28,MAY,2023,Entercom Communications,724972922289,AWS Key Management Service,1.806350733
29,MAY,2023,Entercom Communications,724972922289,AWS Key Management Service,1.8081642752
30,MAY,2023,Entercom Communications,724972922289,AWS Lambda,886.621446526
31,MAY,2023,Entercom Communications,724972922289,AWS Lambda,6.4919989719
32,MAY,2023,Entercom Communications,724972922289,AWS Lambda,0.429026817
33,MAY,2023,Entercom Communications,724972922289,AWS Lambda,39.0247108353
34,MAY,2023,Entercom Communications,724972922289,AWS Lambda,0.7883935666
35,MAY,2023,Entercom Communications,724972922289,AWS Lambda,14.8552058115
36,MAY,2023,Entercom Communications,724972922289,AWS Lambda,3.1976343694
37,MAY,2023,Entercom Communications,724972922289,AWS Lambda,0.0003160717
38,MAY,2023,Entercom Communications,724972922289,AWS Lambda,15.8034921449
39,MAY,2023,Entercom Communications,724972922289,AWS Premium Support,43830.54
40,MAY,2023,Entercom Communications,724972922289,AWS Secrets Manager,140.5460150052
