,Month,Year,Name,Account,Service,Cost,Enviroment
0,MAY,2025,Entercom Communications,724972922289,AWS Amplify,0.0082028747,Environment$
1,MAY,2025,Entercom Communications,724972922289,AWS Backup,2.2741480977,Environment$
2,MAY,2025,Entercom Communications,724972922289,AWS Backup,205.2920206674,Environment$prod
3,MAY,2025,Entercom Communications,724972922289,AWS Budgets,0.6,Environment$
4,MAY,2025,Entercom Communications,724972922289,AWS Certificate Manager,1200.0,Environment$
5,MAY,2025,Entercom Communications,724972922289,AWS CloudFormation,0.0,Environment$
6,MAY,2025,Entercom Communications,724972922289,AWS CloudShell,7.096e-07,Environment$
7,MAY,2025,Entercom Communications,724972922289,AWS CloudTrail,3345.1863591585,Environment$
8,MAY,2025,Entercom Communications,724972922289,AWS Config,2362.988,Environment$
9,MAY,2025,Entercom Communications,724972922289,AWS Cost Explorer,74.09,Environment$
10,MAY,2025,Entercom Communications,724972922289,AWS DataSync,31.3761281233,Environment$
11,MAY,2025,Entercom Communications,724972922289,AWS DataSync,2.60719e-05,Environment$nonprod
12,MAY,2025,Entercom Communications,724972922289,AWS Database Migration Service,3440.3280000048,Environment$
13,MAY,2025,Entercom Communications,724972922289,AWS Database Migration Service,338.859200016,Environment$nonprod
14,MAY,2025,Entercom Communications,724972922289,AWS Direct Connect,937.9520126639,Environment$
15,MAY,2025,Entercom Communications,724972922289,AWS Directory Service,542.9692658263,Environment$
16,MAY,2025,Entercom Communications,724972922289,AWS Elemental MediaLive,29.76,Environment$
17,MAY,2025,Entercom Communications,724972922289,AWS Elemental MediaStore,0.000191952,Environment$
18,MAY,2025,Entercom Communications,724972922289,AWS End User Messaging,2.999999952,Environment$
19,MAY,2025,Entercom Communications,724972922289,AWS Global Accelerator,37.2,Environment$nonprod
20,MAY,2025,Entercom Communications,724972922289,AWS Glue,3.26551104,Environment$
21,MAY,2025,Entercom Communications,724972922289,AWS Key Management Service,169.728021098,Environment$
22,MAY,2025,Entercom Communications,724972922289,AWS Key Management Service,2.030080366,Environment$Production
23,MAY,2025,Entercom Communications,724972922289,AWS Key Management Service,0.998358812,Environment$dev
24,MAY,2025,Entercom Communications,724972922289,AWS Key Management Service,1.001742984,Environment$loadtest
25,MAY,2025,Entercom Communications,724972922289,AWS Key Management Service,71.864683436,Environment$nonprod
26,MAY,2025,Entercom Communications,724972922289,AWS Key Management Service,65.148292352,Environment$prod
27,MAY,2025,Entercom Communications,724972922289,AWS Key Management Service,1.991935452,Environment$shared
