,Month,Year,Name,Account,Service,Cost
0,NOV,2023,Entercom Communications,724972922289,AWS Amplify,0.0
1,NOV,2023,Entercom Communications,724972922289,AWS Backup,3.5709412783
2,NOV,2023,Entercom Communications,724972922289,AWS Backup,107.3222596431
3,NOV,2023,Entercom Communications,724972922289,AWS Budgets,0.2715
4,NOV,2023,Entercom Communications,724972922289,AWS Certificate Manager,1448.0
5,NOV,2023,Entercom Communications,724972922289,AWS CloudShell,3.4767e-06
6,NOV,2023,Entercom Communications,724972922289,AWS CloudTrail,7010.58893325
7,NOV,2023,Entercom Communications,724972922289,AWS Config,2189.201516
8,NOV,2023,Entercom Communications,724972922289,AWS Cost Explorer,11.10435
9,NOV,2023,Entercom Communications,724972922289,AWS Data Exchange,0.089349912
10,NOV,2023,Entercom Communications,724972922289,AWS Database Migration Service,157.0356590141
11,NOV,2023,Entercom Communications,724972922289,AWS Directory Service,443.564541112
12,NOV,2023,Entercom Communications,724972922289,AWS Elemental MediaLive,26.064
13,NOV,2023,Entercom Communications,724972922289,AWS Elemental MediaStore,0.000173736
14,NOV,2023,Entercom Communications,724972922289,AWS End User Messaging,2.715000048
15,NOV,2023,Entercom Communications,724972922289,AWS Global Accelerator,0.0
16,NOV,2023,Entercom Communications,724972922289,AWS Global Accelerator,32.5844857281
17,NOV,2023,Entercom Communications,724972922289,AWS Glue,13.6154053178
18,NOV,2023,Entercom Communications,724972922289,AWS Key Management Service,140.0781874156
19,NOV,2023,Entercom Communications,724972922289,AWS Key Management Service,1.8072941295
20,NOV,2023,Entercom Communications,724972922289,AWS Key Management Service,0.9031812915
21,NOV,2023,Entercom Communications,724972922289,AWS Key Management Service,0.9046037505
22,NOV,2023,Entercom Communications,724972922289,AWS Key Management Service,70.792545981
23,NOV,2023,Entercom Communications,724972922289,AWS Key Management Service,45.690200652
24,NOV,2023,Entercom Communications,724972922289,AWS Key Management Service,1.8037153575
25,NOV,2023,Entercom Communications,724972922289,AWS Key Management Service,1.805148978
26,NOV,2023,Entercom Communications,724972922289,AWS Lambda,1934.7419049814
27,NOV,2023,Entercom Communications,724972922289,AWS Lambda,15.6872139787
28,NOV,2023,Entercom Communications,724972922289,AWS Lambda,0.0608382641
29,NOV,2023,Entercom Communications,724972922289,AWS Lambda,51.4252311552
30,NOV,2023,Entercom Communications,724972922289,AWS Lambda,0.1822154849
31,NOV,2023,Entercom Communications,724972922289,AWS Lambda,4.7991952316
32,NOV,2023,Entercom Communications,724972922289,AWS Lambda,45.423274475
33,NOV,2023,Entercom Communications,724972922289,AWS Lambda,2.4132759563
34,NOV,2023,Entercom Communications,724972922289,AWS Lambda,0.0002000636
35,NOV,2023,Entercom Communications,724972922289,AWS Lambda,2.7088629591
36,NOV,2023,Entercom Communications,724972922289,AWS Migration Hub Refactor Spaces,0.0
37,NOV,2023,Entercom Communications,724972922289,AWS Secrets Manager,128.054223066
38,NOV,2023,Entercom Communications,724972922289,AWS Secrets Manager,11.646974425
39,NOV,2023,Entercom Communications,724972922289,AWS Secrets Manager,1.48107775
40,NOV,2023,Entercom Communications,724972922289,AWS Security Hub,419.45036835
41,NOV,2023,Entercom Communications,724972922289,AWS Service Catalog,0.0
42,NOV,2023,Entercom Communications,724972922289,AWS Step Functions,0.0012603454
43,NOV,2023,Entercom Communications,724972922289,AWS Support (Enterprise),39235.02
44,NOV,2023,Entercom Communications,724972922289,AWS Systems Manager,0.13765955
45,NOV,2023,Entercom Communications,724972922289,AWS Transfer Family,201.4674569864
46,NOV,2023,Entercom Communications,724972922289,AWS WAF,119.9862867624
47,NOV,2023,Entercom Communications,724972922289,AWS WAF,19.005284037
48,NOV,2023,Entercom Communications,724972922289,AWS WAF,19.005175437
49,NOV,2023,Entercom Communications,724972922289,AWS X-Ray,62.658329315
50,NOV,2023,Entercom Communications,724972922289,Amazon API Gateway,65.2221626487
51,NOV,2023,Entercom Communications,724972922289,Amazon API Gateway,5.13692e-05
52,NOV,2023,Entercom Communications,724972922289,Amazon Athena,0.76466165
53,NOV,2023,Entercom Communications,724972922289,Amazon CloudFront,14316.4175677344
54,NOV,2023,Entercom Communications,724972922289,Amazon CloudFront,0.0187951866
55,NOV,2023,Entercom Communications,724972922289,Amazon CloudFront,26.7390633088
56,NOV,2023,Entercom Communications,724972922289,Amazon CloudFront,1126.2294065892
57,NOV,2023,Entercom Communications,724972922289,Amazon CloudFront,1.821e-07
58,NOV,2023,Entercom Communications,724972922289,Amazon CloudFront,8.07075e-05
59,NOV,2023,Entercom Communications,724972922289,Amazon Cognito,7.5477
60,NOV,2023,Entercom Communications,724972922289,Amazon DataZone,0.0
61,NOV,2023,Entercom Communications,724972922289,Amazon Detective,504.0762237602
62,NOV,2023,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),149.4796760297
63,NOV,2023,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),281.9361606264
64,NOV,2023,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),245.723068218
65,NOV,2023,Entercom Communications,724972922289,Amazon DynamoDB,133.3451184954
66,NOV,2023,Entercom Communications,724972922289,Amazon DynamoDB,2.668302
67,NOV,2023,Entercom Communications,724972922289,Amazon DynamoDB,7.4583755538
68,NOV,2023,Entercom Communications,724972922289,Amazon DynamoDB,142.791191661
69,NOV,2023,Entercom Communications,724972922289,Amazon DynamoDB,2.6683021056
70,NOV,2023,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),134.4907108382
71,NOV,2023,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.033130872
72,NOV,2023,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.100757448
73,NOV,2023,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.363828672
74,NOV,2023,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),222.974717709
75,NOV,2023,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),209.8784258744
76,NOV,2023,Entercom Communications,724972922289,Amazon ElastiCache,6395.32368
77,NOV,2023,Entercom Communications,724972922289,Amazon ElastiCache,297.1296
78,NOV,2023,Entercom Communications,724972922289,Amazon ElastiCache,6605.2692
79,NOV,2023,Entercom Communications,724972922289,Amazon ElastiCache,406.5984
80,NOV,2023,Entercom Communications,724972922289,Amazon ElastiCache,4244.5224
81,NOV,2023,Entercom Communications,724972922289,Amazon ElastiCache,500.4288
82,NOV,2023,Entercom Communications,724972922289,EC2 - Other,38085.5080737363
83,NOV,2023,Entercom Communications,724972922289,EC2 - Other,0.7405896732
84,NOV,2023,Entercom Communications,724972922289,EC2 - Other,0.0021274454
85,NOV,2023,Entercom Communications,724972922289,EC2 - Other,29.3220076514
86,NOV,2023,Entercom Communications,724972922289,EC2 - Other,457.8759982755
87,NOV,2023,Entercom Communications,724972922289,EC2 - Other,0.72755621
88,NOV,2023,Entercom Communications,724972922289,EC2 - Other,18.3563320344
89,NOV,2023,Entercom Communications,724972922289,EC2 - Other,1292.2311567098
90,NOV,2023,Entercom Communications,724972922289,EC2 - Other,96.0443421825
91,NOV,2023,Entercom Communications,724972922289,EC2 - Other,3866.7732223789
92,NOV,2023,Entercom Communications,724972922289,EC2 - Other,1221.5328977035
93,NOV,2023,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,75272.5338119621
94,NOV,2023,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,0.0
95,NOV,2023,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,3.0777e-06
96,NOV,2023,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,261.5686270118
97,NOV,2023,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,240.257131504
98,NOV,2023,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,1252.3568543279
99,NOV,2023,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,1345.0859583264
100,NOV,2023,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,2063.5545903305
101,NOV,2023,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,1668.9611627118
102,NOV,2023,Entercom Communications,724972922289,Amazon Elastic Container Service,6285.6078253952
103,NOV,2023,Entercom Communications,724972922289,Amazon Elastic Container Service for Kubernetes,255.4564659651
104,NOV,2023,Entercom Communications,724972922289,Amazon Elastic Container Service for Kubernetes,646.5203882717
105,NOV,2023,Entercom Communications,724972922289,Amazon Elastic Container Service for Kubernetes,615.3631854045
106,NOV,2023,Entercom Communications,724972922289,Amazon Elastic File System,1739.4399615759
107,NOV,2023,Entercom Communications,724972922289,Amazon Elastic File System,4.121814888
