,Month,Year,Name,Account,Service,Cost
0,OCT,2022,Entercom Communications,724972922289,AWS Backup,2.8691902709
1,OCT,2022,Entercom Communications,724972922289,AWS Backup,1.24e-08
2,OCT,2022,Entercom Communications,724972922289,AWS Backup,491.0087952872
3,OCT,2022,Entercom Communications,724972922289,AWS Certificate Manager,1514.89641264
4,OCT,2022,Entercom Communications,724972922289,AWS Certificate Manager,362.0
5,OCT,2022,Entercom Communications,724972922289,AWS CloudShell,2.8337e-06
6,OCT,2022,Entercom Communications,724972922289,AWS CloudTrail,1436.692530895
7,OCT,2022,Entercom Communications,724972922289,AWS CodeArtifact,8e-10
8,OCT,2022,Entercom Communications,724972922289,AWS CodeCommit,0.0
9,OCT,2022,Entercom Communications,724972922289,AWS CodePipeline,0.905
10,OCT,2022,Entercom Communications,724972922289,AWS Config,2822.887765
11,OCT,2022,Entercom Communications,724972922289,AWS Cost Explorer,0.60635
12,OCT,2022,Entercom Communications,724972922289,AWS Data Exchange,0.0893500104
13,OCT,2022,Entercom Communications,724972922289,AWS Database Migration Service,162.2701867059
14,OCT,2022,Entercom Communications,724972922289,AWS Directory Service,483.9314063838
15,OCT,2022,Entercom Communications,724972922289,AWS Elemental MediaLive,26.9328
16,OCT,2022,Entercom Communications,724972922289,AWS Elemental MediaStore,0.000173724
17,OCT,2022,Entercom Communications,724972922289,AWS Global Accelerator,0.0
18,OCT,2022,Entercom Communications,724972922289,AWS Global Accelerator,84.1692547589
19,OCT,2022,Entercom Communications,724972922289,AWS Glue,1.0408505998
20,OCT,2022,Entercom Communications,724972922289,AWS Key Management Service,69.0193625877
21,OCT,2022,Entercom Communications,724972922289,AWS Key Management Service,1.784762212
22,OCT,2022,Entercom Communications,724972922289,AWS Key Management Service,1.7826199992
23,OCT,2022,Entercom Communications,724972922289,AWS Key Management Service,0.9032214826
24,OCT,2022,Entercom Communications,724972922289,AWS Key Management Service,61.6246115212
25,OCT,2022,Entercom Communications,724972922289,AWS Key Management Service,34.4629063772
26,OCT,2022,Entercom Communications,724972922289,AWS Key Management Service,0.8928359852
27,OCT,2022,Entercom Communications,724972922289,AWS Key Management Service,1.8702878938
28,OCT,2022,Entercom Communications,724972922289,AWS Lambda,1117.2713898252
29,OCT,2022,Entercom Communications,724972922289,AWS Lambda,8.3267802824
30,OCT,2022,Entercom Communications,724972922289,AWS Lambda,0.0061750988
31,OCT,2022,Entercom Communications,724972922289,AWS Lambda,35.7255639278
32,OCT,2022,Entercom Communications,724972922289,AWS Lambda,1.373645983
33,OCT,2022,Entercom Communications,724972922289,AWS Lambda,29.2355884773
34,OCT,2022,Entercom Communications,724972922289,AWS Lambda,4.3189671097
35,OCT,2022,Entercom Communications,724972922289,AWS Lambda,0.0001593252
36,OCT,2022,Entercom Communications,724972922289,AWS Lambda,22.9981505721
37,OCT,2022,Entercom Communications,724972922289,AWS Premium Support,42814.01
38,OCT,2022,Entercom Communications,724972922289,AWS Secrets Manager,75.0094487509
39,OCT,2022,Entercom Communications,724972922289,AWS Security Hub,465.5681819
