,Month,Year,Name,Account,Service,Cost
0,SEP,2023,Entercom Communications,724972922289,AWS Backup,3.5559019263
1,SEP,2023,Entercom Communications,724972922289,AWS Backup,1.12e-08
2,SEP,2023,Entercom Communications,724972922289,AWS Backup,545.4397079087
3,SEP,2023,Entercom Communications,724972922289,AWS Budgets,0.2715
4,SEP,2023,Entercom Communications,724972922289,AWS Certificate Manager,1448.0
5,SEP,2023,Entercom Communications,724972922289,AWS Certificate Manager,350.77509314
6,SEP,2023,Entercom Communications,724972922289,AWS CloudShell,9.8637e-06
7,SEP,2023,Entercom Communications,724972922289,AWS CloudTrail,3928.4915197875
8,SEP,2023,Entercom Communications,724972922289,AWS CodeCommit,0.0
9,SEP,2023,Entercom Communications,724972922289,AWS Config,1998.493943
10,SEP,2023,Entercom Communications,724972922289,AWS Cost Explorer,10.2446
11,SEP,2023,Entercom Communications,724972922289,AWS Data Exchange,0.089349912
12,SEP,2023,Entercom Communications,724972922289,AWS Database Migration Service,157.0357454015
13,SEP,2023,Entercom Communications,724972922289,AWS Directory Service,443.1053266402
14,SEP,2023,Entercom Communications,724972922289,AWS Elemental MediaLive,26.064
15,SEP,2023,Entercom Communications,724972922289,AWS Elemental MediaStore,0.000173736
16,SEP,2023,Entercom Communications,724972922289,AWS End User Messaging,2.715000048
17,SEP,2023,Entercom Communications,724972922289,AWS Global Accelerator,0.0
18,SEP,2023,Entercom Communications,724972922289,AWS Global Accelerator,55.1866561
19,SEP,2023,Entercom Communications,724972922289,AWS Glue,0.0
20,SEP,2023,Entercom Communications,724972922289,AWS Key Management Service,142.5088832979
21,SEP,2023,Entercom Communications,724972922289,AWS Key Management Service,1.824868023
22,SEP,2023,Entercom Communications,724972922289,AWS Key Management Service,4.3661253015
23,SEP,2023,Entercom Communications,724972922289,AWS Key Management Service,0.904734171
24,SEP,2023,Entercom Communications,724972922289,AWS Key Management Service,0.9046173255
25,SEP,2023,Entercom Communications,724972922289,AWS Key Management Service,68.0617110795
26,SEP,2023,Entercom Communications,724972922289,AWS Key Management Service,42.2725982925
27,SEP,2023,Entercom Communications,724972922289,AWS Key Management Service,1.804972302
28,SEP,2023,Entercom Communications,724972922289,AWS Key Management Service,1.8089388165
29,SEP,2023,Entercom Communications,724972922289,AWS Lambda,1023.0114663425
30,SEP,2023,Entercom Communications,724972922289,AWS Lambda,21.802637706
31,SEP,2023,Entercom Communications,724972922289,AWS Lambda,0.0995486003
32,SEP,2023,Entercom Communications,724972922289,AWS Lambda,84.3741790619
33,SEP,2023,Entercom Communications,724972922289,AWS Lambda,4.5232453892
34,SEP,2023,Entercom Communications,724972922289,AWS Lambda,2.368242791
35,SEP,2023,Entercom Communications,724972922289,AWS Lambda,0.0002162048
